# z       n(z) (10^-6 h^(3)Mpc(-3))
    0.001667   1010.000000
    0.005000   1010.000000
    0.008333   1010.000000
    0.011667    922.177849
    0.015000    780.232323
    0.018333    679.396705
    0.021667    615.084845
    0.025000    582.710588
    0.028333    577.687782
    0.031667    595.430274
    0.035000    631.351912
    0.038333    680.866544
    0.041667    739.388017
    0.045000    802.330177
    0.048333    865.106874
    0.051667    923.171079
    0.055000    972.875653
    0.058333   1011.473344
    0.061667   1036.256028
    0.065000   1044.515578
    0.068333   1033.543867
    0.071667   1001.063074
    0.075000    954.692352
    0.078333    911.947833
    0.081667    890.775950
    0.085000    909.123137
    0.088333    984.935829
    0.091667   1135.392019
    0.095000   1359.995564
    0.098333   1640.576181
    0.101667   1958.195151
    0.105000   2293.913750
    0.108333   2628.793257
    0.111667   2943.971859
    0.115000   3222.356643
    0.118333   3448.623600
    0.121667   3607.525624
    0.125000   3683.815615
    0.128333   3662.246469
    0.131667   3528.651102
    0.135000   3293.702863
    0.138333   2992.915532
    0.141667   2662.882908
    0.145000   2340.198790
    0.148333   2061.456979
    0.151667   1861.996650
    0.155000   1748.300655
    0.158333   1697.995523
    0.161667   1687.453161
    0.165000   1693.045473
    0.168333   1691.144366
    0.171667   1658.825263
    0.175000   1589.344518
    0.178333   1492.139412
    0.181667   1377.350745
    0.185000   1255.119317
    0.188333   1135.585929
    0.191667   1028.599869
    0.195000    937.305650
    0.198333    858.143011
    0.201667    787.260180
    0.205000    720.805383
    0.208333    654.926848
    0.211667    585.932091
    0.215000    513.792258
    0.218333    442.142132
    0.221667    374.775781
    0.225000    315.487275
    0.228333    268.070682
    0.231667    236.159037
    0.235000    219.681567
    0.238333    214.863692
    0.241667    217.769797
    0.245000    224.464267
    0.248333    231.011488
    0.251667    233.583381
    0.255000    230.825225
    0.258333    223.855648
    0.261667    213.900820
    0.265000    202.186907
    0.268333    189.940080
    0.271667    178.351766
    0.275000    167.814410
    0.278333    157.921471
    0.281667    148.231671
    0.285000    138.303728
    0.288333    127.696365
    0.291667    115.989995
    0.295000    103.264010
    0.298333     90.096776
    0.301667     77.088354
    0.305000     64.838805
    0.308333     53.948189
    0.311667     44.996298
    0.315000     38.096737
    0.318333     32.896921
    0.321667     29.023998
    0.325000     26.105115
    0.328333     23.767419
    0.331667     21.646977
    0.335000     19.584980
    0.338333     17.627751
    0.341667     15.830527
    0.345000     14.248549
    0.348333     12.937054
    0.351667     11.948724
    0.355000     11.277404
    0.358333     10.858105
    0.361667     10.623279
    0.365000     10.505378
    0.368333     10.436854
    0.371667     10.350160
    0.375000     10.177747
    0.378333      9.852068
    0.381667      9.305575
    0.385000      8.470721
    0.388333      7.279957
    0.391667      6.530000
    0.395000      6.530000
    0.398333      6.530000
    0.401667      0.000000
    0.405000      0.000000
    0.408333      0.000000
    0.411667      0.000000
    0.415000      0.000000
    0.418333      0.000000
    0.421667      0.000000
    0.425000      0.000000
    0.428333      0.000000
    0.431667      0.000000
    0.435000      0.000000
    0.438333      0.000000
    0.441667      0.000000
    0.445000      0.000000
    0.448333      0.000000
    0.451667      0.000000
    0.455000      0.000000
    0.458333      0.000000
    0.461667      0.000000
    0.465000      0.000000
    0.468333      0.000000
    0.471667      0.000000
    0.475000      0.000000
    0.478333      0.000000
    0.481667      0.000000
    0.485000      0.000000
    0.488333      0.000000
    0.491667      0.000000
    0.495000      0.000000
    0.498333      0.000000
