# z       n(z) (10^-6 h^(3)Mpc(-3))
    0.001667      0.000000
    0.005000   1872.473773
    0.008333   2110.666578
    0.011667   2009.039168
    0.015000   3629.496366
    0.018333   5711.635061
    0.021667   6738.142361
    0.025000   7661.050061
    0.028333   6719.733168
    0.031667   3511.753293
    0.035000   2601.535513
    0.038333   2955.915782
    0.041667   2642.956031
    0.045000   3745.178927
    0.048333   4659.593840
    0.051667   3616.792154
    0.055000   2537.253889
    0.058333   2124.705375
    0.061667   2028.949867
    0.065000   1660.249031
    0.068333   1695.081395
    0.071667   2665.352559
    0.075000   3582.467560
    0.078333   3900.396753
    0.081667   3555.387658
    0.085000   2797.557993
    0.088333   1907.425851
    0.091667   1155.319209
    0.095000    797.117747
    0.098333   1087.043755
    0.101667      0.000000
    0.105000      0.000000
    0.108333      0.000000
    0.111667      0.000000
    0.115000      0.000000
    0.118333      0.000000
    0.121667      0.000000
    0.125000      0.000000
    0.128333      0.000000
    0.131667      0.000000
    0.135000      0.000000
    0.138333      0.000000
    0.141667      0.000000
    0.145000      0.000000
    0.148333      0.000000
    0.151667      0.000000
    0.155000      0.000000
    0.158333      0.000000
    0.161667      0.000000
    0.165000      0.000000
    0.168333      0.000000
    0.171667      0.000000
    0.175000      0.000000
    0.178333      0.000000
    0.181667      0.000000
    0.185000      0.000000
    0.188333      0.000000
    0.191667      0.000000
    0.195000      0.000000
    0.198333      0.000000
    0.201667      0.000000
    0.205000      0.000000
    0.208333      0.000000
    0.211667      0.000000
    0.215000      0.000000
    0.218333      0.000000
    0.221667      0.000000
    0.225000      0.000000
    0.228333      0.000000
    0.231667      0.000000
    0.235000      0.000000
    0.238333      0.000000
    0.241667      0.000000
    0.245000      0.000000
    0.248333      0.000000
    0.251667      0.000000
    0.255000      0.000000
    0.258333      0.000000
    0.261667      0.000000
    0.265000      0.000000
    0.268333      0.000000
    0.271667      0.000000
    0.275000      0.000000
    0.278333      0.000000
    0.281667      0.000000
    0.285000      0.000000
    0.288333      0.000000
    0.291667      0.000000
    0.295000      0.000000
    0.298333      0.000000
    0.301667      0.000000
    0.305000      0.000000
    0.308333      0.000000
    0.311667      0.000000
    0.315000      0.000000
    0.318333      0.000000
    0.321667      0.000000
    0.325000      0.000000
    0.328333      0.000000
    0.331667      0.000000
    0.335000      0.000000
    0.338333      0.000000
    0.341667      0.000000
    0.345000      0.000000
    0.348333      0.000000
    0.351667      0.000000
    0.355000      0.000000
    0.358333      0.000000
    0.361667      0.000000
    0.365000      0.000000
    0.368333      0.000000
    0.371667      0.000000
    0.375000      0.000000
    0.378333      0.000000
    0.381667      0.000000
    0.385000      0.000000
    0.388333      0.000000
    0.391667      0.000000
    0.395000      0.000000
    0.398333      0.000000
    0.401667      0.000000
    0.405000      0.000000
    0.408333      0.000000
    0.411667      0.000000
    0.415000      0.000000
    0.418333      0.000000
    0.421667      0.000000
    0.425000      0.000000
    0.428333      0.000000
    0.431667      0.000000
    0.435000      0.000000
    0.438333      0.000000
    0.441667      0.000000
    0.445000      0.000000
    0.448333      0.000000
    0.451667      0.000000
    0.455000      0.000000
    0.458333      0.000000
    0.461667      0.000000
    0.465000      0.000000
    0.468333      0.000000
    0.471667      0.000000
    0.475000      0.000000
    0.478333      0.000000
    0.481667      0.000000
    0.485000      0.000000
    0.488333      0.000000
    0.491667      0.000000
    0.495000      0.000000
    0.498333      0.000000
